parameter,data,mean_before sentence,lower_before sentence,upper_before sentence,mean_before word,lower_before word,upper_before word,mean_within word,lower_within word,upper_within word,Contrasts,diff,lower,upper,BF
beta,C2L1,446,387,516,448,420,477,299,282,316,before sentence - before word,-0.01,-0.14,0.13,0.07
beta,C2L1,446,387,516,448,420,477,299,282,316,before word - within word,0.41,0.38,0.44,> 100
beta,CATO,259,233,289,257,242,274,180,170,191,before sentence - before word,0.01,-0.08,0.1,0.05
beta,CATO,259,233,289,257,242,274,180,170,191,before word - within word,0.36,0.32,0.39,> 100
beta,LIFT,179,172,187,187,179,195,144,138,150,before sentence - before word,-0.04,-0.07,-0.02,6.83
beta,LIFT,179,172,187,187,179,195,144,138,150,before word - within word,0.26,0.25,0.28,> 100
beta,PLanTra,168,157,181,173,162,184,142,134,150,before sentence - before word,-0.03,-0.08,0.03,0.04
beta,PLanTra,168,157,181,173,162,184,142,134,150,before word - within word,0.2,0.16,0.23,> 100
beta,SPL2,446,379,535,225,206,245,149,137,162,before sentence - before word,0.68,0.55,0.86,> 100
beta,SPL2,446,379,535,225,206,245,149,137,162,before word - within word,0.41,0.38,0.44,> 100
delta,C2L1,"1,325",823,"1,988",886,766,"1,024",240,185,306,before sentence - before word,0.28,-0.04,0.58,0.71
delta,C2L1,"1,325",823,"1,988",886,766,"1,024",240,185,306,before word - within word,0.5,0.37,0.63,> 100
delta,CATO,"2,174","1,762","2,645",582,502,668,161,121,212,before sentence - before word,1.06,0.88,1.23,> 100
delta,CATO,"2,174","1,762","2,645",582,502,668,161,121,212,before word - within word,0.54,0.38,0.69,> 100
delta,LIFT,607,535,685,352,324,382,164,144,186,before sentence - before word,0.42,0.33,0.51,> 100
delta,LIFT,607,535,685,352,324,382,164,144,186,before word - within word,0.3,0.22,0.38,> 100
delta,PLanTra,844,700,"1,008",500,429,584,238,182,303,before sentence - before word,0.43,0.27,0.6,> 100
delta,PLanTra,844,700,"1,008",500,429,584,238,182,303,before word - within word,0.38,0.2,0.56,95.06
delta,SPL2,"2,921","2,459","3,496",532,468,605,157,125,194,before sentence - before word,0.81,0.7,0.91,> 100
delta,SPL2,"2,921","2,459","3,496",532,468,605,157,125,194,before word - within word,0.5,0.37,0.62,> 100
theta,C2L1,.43,.26,.63,.32,.26,.38,.12,.09,.16,before sentence - before word,0.49,-0.31,1.34,0.77
theta,C2L1,.43,.26,.63,.32,.26,.38,.12,.09,.16,before word - within word,1.24,0.82,1.66,> 100
theta,CATO,.53,.43,.63,.34,.29,.40,.12,.09,.16,before sentence - before word,0.75,0.29,1.23,35.44
theta,CATO,.53,.43,.63,.34,.29,.40,.12,.09,.16,before word - within word,1.36,0.96,1.78,> 100
theta,LIFT,.25,.22,.28,.36,.33,.39,.12,.10,.13,before sentence - before word,-0.54,-0.73,-0.35,> 100
theta,LIFT,.25,.22,.28,.36,.33,.39,.12,.10,.13,before word - within word,1.46,1.28,1.65,> 100
theta,PLanTra,.48,.42,.54,.41,.35,.46,.14,.11,.17,before sentence - before word,0.3,-0.03,0.63,0.84
theta,PLanTra,.48,.42,.54,.41,.35,.46,.14,.11,.17,before word - within word,1.47,1.15,1.8,> 100
theta,SPL2,.69,.59,.77,.44,.38,.50,.12,.10,.15,before sentence - before word,1.05,0.58,1.5,> 100
theta,SPL2,.69,.59,.77,.44,.38,.50,.12,.10,.15,before word - within word,1.73,1.38,2.08,> 100
