data,diffid,mean_beta,BF_beta,mean_delta,BF_delta,mean_theta,BF_theta
C2L1,before sentence vs word,"0.01 [-0.13, 0.15]",0.07,"0.21 [-0.13, 0.54]",0.35,"0.54 [-0.31, 1.43]",0.89
C2L1,before vs within word,"0.4 [0.38, 0.42]",> 100,"0.49 [0.39, 0.58]",> 100,"1.1 [0.76, 1.44]",> 100
"CATO (non-dyslexic
unmasked)",before sentence vs word,"-0.03 [-0.18, 0.11]",0.08,"1.19 [0.88, 1.49]",> 100,"0.41 [-0.44, 1.27]",0.67
"CATO (non-dyslexic
unmasked)",before vs within word,"0.35 [0.31, 0.38]",> 100,"0.35 [0.14, 0.54]",17.48,"1.83 [1.19, 2.49]",> 100
GUNNEXP2 (unmasked),before sentence vs word,"0.22 [0.12, 0.32]",> 100,"0.93 [0.78, 1.07]",> 100,"1.32 [0.86, 1.78]",> 100
GUNNEXP2 (unmasked),before vs within word,"0.23 [0.21, 0.25]",> 100,"0.38 [0.21, 0.54]",> 100,"1.97 [1.59, 2.37]",> 100
LIFT,before sentence vs word,"-0.04 [-0.13, 0.05]",0.07,"0.35 [0.05, 0.72]",2.14,"-0.49 [-1.03, 0]",1.63
LIFT,before vs within word,"0.21 [0.13, 0.27]",> 100,"0.26 [-0.16, 0.55]",0.71,"1.56 [1.02, 2.16]",> 100
PLanTra,before sentence vs word,"0.01 [-0.09, 0.11]",0.07,"0.65 [0.46, 0.83]",> 100,"0.13 [-0.25, 0.53]",0.25
PLanTra,before vs within word,"0.16 [0.1, 0.21]",> 100,"0.37 [0.2, 0.54]",> 100,"1.83 [1.48, 2.17]",> 100
SPL2 (L1; shift + C),before sentence vs word,"0.73 [0.66, 0.81]",> 100,"0.92 [0.78, 1.07]",> 100,"1.16 [0.64, 1.69]",> 100
SPL2 (L1; shift + C),before vs within word,"0.3 [0.27, 0.34]",> 100,"0.35 [0.15, 0.54]",22.82,"1.84 [1.33, 2.35]",> 100
SPL2 (L1),before sentence vs word,"0.24 [0.17, 0.31]",> 100,"1.39 [1.25, 1.52]",> 100,"0.69 [0.17, 1.19]",8.01
SPL2 (L1),before vs within word,"0.31 [0.28, 0.34]",> 100,"0.35 [0.14, 0.54]",16.25,"1.94 [1.4, 2.5]",> 100
