param,Transition location,Dataset,Group,Unmasked,Masked,Difference,BF
delta,before sentence,CATO,dyslexic,"2,423 [1,731, 3,302]","1,871 [1,428, 2,398]","-0.25 [-0.64, 0.13]",0.44
delta,before sentence,CATO,non dyslexic,"1,924 [1,429, 2,518]","1,693 [1,323, 2,134]","-0.12 [-0.47, 0.22]",0.23
delta,before sentence,GE2,non dyslexic,"1,282 [1,108, 1,469]","1,575 [1,369, 1,796]","0.21 [0.05, 0.36]",2.59
delta,before word,CATO,dyslexic,"635 [590, 683]","598 [553, 644]","-0.06 [-0.13, 0.01]",0.14
delta,before word,CATO,non dyslexic,"536 [497, 579]","518 [480, 558]","-0.04 [-0.11, 0.04]",0.06
delta,before word,GE2,non dyslexic,"520 [476, 567]","536 [492, 584]","0.03 [-0.05, 0.11]",0.05
delta,within word,CATO,dyslexic,"469 [356, 593]","368 [305, 445]","-0.24 [-0.52, 0.06]",0.57
delta,within word,CATO,non dyslexic,"600 [434, 787]","583 [420, 784]","-0.03 [-0.42, 0.38]",0.2
delta,within word,GE2,non dyslexic,"339 [261, 438]","367 [290, 466]","0.08 [-0.24, 0.4]",0.19
prob,before sentence,CATO,dyslexic,".60 [.38, .79]",".80 [.60, .93]","0.2 [-0.06, 0.46]",0.45
prob,before sentence,CATO,non dyslexic,".55 [.34, .76]",".68 [.47, .84]","0.13 [-0.16, 0.4]",0.21
prob,before sentence,GE2,non dyslexic,".88 [.82, .93]",".90 [.85, .94]","0.16 [-0.46, 0.79]",0.36
prob,before word,CATO,dyslexic,".75 [.64, .85]",".72 [.59, .82]","-0.04 [-0.19, 0.12]",0.09
prob,before word,CATO,non dyslexic,".64 [.51, .75]",".62 [.49, .74]","-0.02 [-0.19, 0.16]",0.09
prob,before word,GE2,non dyslexic,".47 [.40, .54]",".45 [.38, .52]","-0.06 [-0.46, 0.35]",0.21
prob,within word,CATO,dyslexic,".07 [.03, .12]",".11 [.06, .19]","0.05 [-0.02, 0.13]",0.08
prob,within word,CATO,non dyslexic,".03 [.02, .06]",".03 [.02, .06]","0 [-0.03, 0.03]",0.01
prob,within word,GE2,non dyslexic,".05 [.03, .08]",".04 [.03, .06]","-0.29 [-0.88, 0.28]",0.48
