participant,location,recent_text,new_letter,iki
71,within word, science should aim to dsicover truth abo,u,58
71,before sentence,practical application or wealth creation.,a,2122
71,within word,n or wealth creation. As someone who curr,e,185
71,within word,ion. As someone who currently studies a v,i,120
71,before word, understand the need for science to go on,w,209
71,within word,eed for science to go on without an end g,o,98
71,before sentence,for science to go on without an end goal.,w,706
71,within word, to go on without an end goal. When scien,t,200
71,within word,us as a virus that did not cause signific,a,111
71,before word,at did not cause significant disease they,c,408
71,before word,ignificant disease they could have thrown,i,264
71,before word,ificant disease they could have thrown it,w,225
71,within word,e thrown it away and stoped conducting re,s,256
71,before sentence,way and stoped conducting reserach on it.,i,480
71,before sentence,d the virus and how it attached to cells.,i,366
71,within word,it attached to cells. In the end they eve,n,96
71,before word,to cells. In the end they even found that,i,834
71,within word, the end they even found that it killed c,a,104
71,before word,that it killed cancer cells and it is now,i,655
71,within word, cancer cells and it is now in clinical t,r,186
71,before sentence,r cells and it is now in clinical trials.,w,514
71,within word,ls and it is now in clinical trials. With,o,87
71,before word,desire to learn about this virus that did,n,175
71,before word, never would have found out that it could,b,167
71,within word,T,h,205
71,before word,Many,i,295
71,before word,Many ideas,a,593
71,before word,as and main theories in science come from,e,545
71,before word,hat people did just to learn or see if it,w,138
71,before sentence,ple did just to learn or see if it works.,d,1545
71,before word,e lab there have been multiple times that,i,223
71,within word,re have been multiple times that I did ex,p,86
71,within word,iple times that I did experiments just be,c,252
71,before sentence, to see if I could get something to work.,t,505
71,before sentence,o create something that could make money.,i,897
71,within word, something that could make money. If mone,y,142
71,before word,"eason to do science, there would be a lot",l,561
71,before sentence,a lot less science going on in the world.,a,3689
71,within word, less science going on in the world. Abou,t,104
71,before sentence,ts that don't match the expected outcome.,t,697
71,before word,at don't match the expected outcome. This,w,807
71,before word,al if science was only conducted in order,t,112
71,within word,Although it is ni,c,136
71,within word,ice when the outcome of science does resu,l,183
71,before word,e when the outcome of science does result,i,212
71,within word," an item that is profitable, it is not re",a,197
71,within word,"hat is profitable, it is not reasonable t",o,69
71,before sentence,onduct studies with that outcome in mind.,r,2912
71,within word,outcome in mind. Results are sometimes al,t,151
71,before word,esults are sometimes altered in labs that,p,240
71,within word,altered in labs that push productivity an,d,145
71,within word,ered in labs that push productivity and p,u,160
71,within word,at push productivity and publishing paper,s,144
71,before sentence, push productivity and publishing papers.,i,817
71,within word,y and publishing papers. If money was als,o,79
71,before word,If money was also a player there could be,m,209
71,before word,also a player there could be more studies,t,142
71,before word,tudies that are altered just to allow the,p,647
71,before word, are altered just to allow the authors to,g,255
71,before sentence, just to allow the authors to gain money.,m,517
71,before sentence,mpanies that have a stand in the results.,o,751
71,before word, a stand in the results. Often the public,t,990
71,before word, in the results. Often the public sees it,a,305
71,before word,he results. Often the public sees outside,r,3939
71,before word, treatments as more trust worthy than the,o,295
71,before word, trust worthy than a company looking into,t,377
71,before sentence, company looking into their own products.,t,1376
71,within word,ts. This makes sense as the company is mo,r,129
71,before word,es sense as the company is more likely to,o,201
71,within word,"ake their product look favorable, while o",u,80
71,within word," product look favorable, while outside re",s,425
71,before word,Research,t,2031
71,within word,Research that is conduct,e,156
71,before word,hat is conducted for the sake of learning,m,161
71,within word,is conducted for the sake of learning mor,e,86
71,before word,cific processes allows for creativity and,e,392
71,within word,s for creativity and eventual monitary ou,t,154
71,before sentence,creativity and eventual monitary outcome.,i,6435
71,within word,d eventual monitary outcome. It also allo,w,210
71,before word,e. Learning how different upbringings and,c,425
71,within word,rning how different upbringings and child,h,435
71,before word, upbringings and childhood tramas affects,t,1912
71,before word,ood tramas affects the type of job people,e,182
71,within word,ype of job people end up getting and wher,e,119
71,within word,"f job people end up getting, aids everyon",e,112
71,before word,ids everyone in the long run by giving us,i,200
71,within word,veryone in the long run by giving us info,r,610
71,before sentence,mation on how to prevent certin outcomes.,i,5720
71,before word, used to be thought to be normal to spank,c,313
71,within word," spank children as a punishment, but as m",o,70
71,before word,"ank children as a punishment, but as more",r,233
71,before word,"t as more reserach is conducted, it seems",t,103
71,within word,"more reserach is conducted, it seems to n",e,96
