participant,iki,location
116,2881,before-sentence
116,465,before-word
116,144,before-sentence
116,121,before-sentence
116,129,before-word
116,81,before-sentence
116,165,within-word
116,114,before-word
116,63,before-sentence
116,1072,before-sentence
116,218,before-word
116,106,before-sentence
116,78,before-sentence
116,62,within-word
116,129,within-word
116,495,before-word
116,129,within-word
116,98,within-word
116,88,before-sentence
116,177,before-word
116,62,before-sentence
116,744,before-sentence
116,161,before-word
116,672,before-word
116,120,within-word
116,648,before-word
116,168,within-word
116,86,before-sentence
116,102,within-word
116,247,before-word
116,95,before-sentence
116,497,before-word
116,737,before-sentence
116,120,within-word
116,945,before-word
116,104,within-word
116,246,within-word
116,136,within-word
116,428,before-word
116,27241,within-word
116,204,before-word
116,144,within-word
116,1097,before-word
116,2637,before-word
116,128,within-word
116,471,before-word
116,247,before-sentence
116,208,before-sentence
116,449,before-sentence
116,159,within-word
116,1323,before-sentence
116,143,within-word
116,233,within-word
116,102,within-word
116,122,before-word
116,217,before-word
116,252,before-word
116,79,before-sentence
116,334,before-sentence
116,376,within-word
76,80,before-sentence
76,9592,before-sentence
76,921,within-word
76,326,before-sentence
76,946,before-sentence
76,115,within-word
76,143,before-word
76,177,within-word
76,136,before-word
76,13091,before-sentence
76,1976,before-word
76,328,before-word
76,1432,before-sentence
76,121,within-word
76,2744,before-word
76,363,before-word
76,270,before-sentence
76,3045,within-word
76,130,within-word
76,191,within-word
76,304,within-word
76,209,within-word
76,408,within-word
76,706,before-word
76,599,before-word
76,13372,before-sentence
76,71,within-word
76,130,before-word
76,392,before-sentence
76,250,within-word
76,176,within-word
76,97,before-sentence
76,117,before-sentence
76,1168,before-sentence
76,449,before-word
76,196,before-word
76,1000,before-word
76,160,before-sentence
76,112,before-sentence
76,122,before-word
76,264,before-word
76,507,within-word
76,2079,before-word
76,265,within-word
76,94,before-sentence
76,5880,before-word
76,136,within-word
76,113,before-word
76,184,before-sentence
76,144,within-word
76,2120,before-word
76,104,within-word
76,448,before-sentence
76,239,within-word
76,216,before-word
